Instance Name; Instance ID, AWS Region
SC-PROD-UE1-B_PDFWorker_i-eabc378b;i-eabc378b;
SC-PROD-EW1-B_VideoWorker_i-f4d4cab9;i-f4d4cab9;
SC-DEV-PERMANENT_ImageServer_2426;i-d1ac37ad;
SC-PROD-UE1-B_CreatePDFWorker-ETC_i-0adc3466;i-0adc3466;
SC-PROD-EW1-B_VideoWorker_i-0c527b41;i-0c527b41;
SC-PROD-AN1-B_VideoWorker_i-f83fd2fc;i-f83fd2fc;
SC-PROD-UE1-B_VideoWorker_i-3eb5b35d;i-3eb5b35d;
SC-PROD-UE1-B_ExportPDFWorker_i-48f85824;i-48f85824;
SC-PROD-UE1-B_PDFWorker_i-a1ce7dc3;i-a1ce7dc3;
SC-STAGE-EW1-A_PSLWorker_i-b44543f9;i-b44543f9;
SC-STAGE-EW1-A_STDWorker_i-08414745;i-08414745;
SC-STAGE-EW1-A_PSLWorker_i-14404659;i-14404659;
SC-PROD-EW1-B_IDWorker_i-28704465;i-28704465;
SC-STAGE-EW1-A_STDWorker_i-fa4345b7;i-fa4345b7;
SC-PROD-EW1-B_XMPWorker_i-58430915;i-58430915;
SC-STAGE-UE1-A_ServiceContainer_i-3ebe6054;i-3ebe6054;
SC-PROD-EW1-B_VideoWorker_i-148dda59;i-148dda59;
SC-STAGE-EW1-A_PSLWorker_i-fe4046b3;i-fe4046b3;
SC-STAGE-EW1-A_ServiceContainer_i-4c171401;i-4c171401;
SC-PROD-EW1-B_PSLWorker_i-b1db3afd;i-b1db3afd;
SC-LABS_CRWorker_i-df5a41b0;i-df5a41b0;
SC-PROD-EW1-B_VideoWorker_i-202b186d;i-202b186d;
SC-DEV-QE1_CombinePDFLinuxWorker_i-26f0014c;i-26f0014c;
